Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Vie,2025-02-07,15:00:00,Sport Huancayo,2–1,Alianza Atlético,Ganó Local,Estadio Huancayo,Augusto Menéndez,2,1,0
Sáb,2025-02-08,13:00:00,Melgar,3–0,UTC,Ganó Local,Estadio de la Universidad Nacional San A...,Julio Quiróz,3,0,0
Sáb,2025-02-08,15:15:00,Atlético Grau,1–0,Ayacucho,Ganó Local,Estadio Campeones del 36,Boris Santos,1,0,0
Dom,2025-02-09,13:00:00,Alianza Univ,2–2,Sporting Cristal,Empate,Estadio Heraclio Tapia León,Jordy Espinoza,2,2,1
Dom,2025-02-09,15:00:00,Sport Boys,1–0,Juan Pablo II,Ganó Local,Estadio Miguel Grau del Callao,Roberto Pérez,1,0,0
Dom,2025-02-09,15:30:00,Comerciantes Unidos,1–1,Universitario,Empate,Estadio Municipal Germán Contreras Jara,Micke Palomino,1,1,1
Dom,2025-02-09,18:00:00,Cienciano,2–2,ADT Tarma,Empate,Estadio Inca Garcilaso de la Vega,Joel Alarcón,2,2,1
Sáb,2025-02-08,19:00:00,Alianza Lima,3–0,Cusco,Ganó Local,Estadio Alejandro Villanueva,Daniel Ureta,3,0,0
Lun,2025-02-10,15:00:00,CDC Santa Rosa,2–2,Deportivo Garcilaso,Empate,Estadio El Prado,Jesús Cartagena,2,2,1
Vie,2025-02-14,11:00:00,UTC,0–4,Binacional,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Pablo López,0,4,2
Vie,2025-02-14,17:30:00,Cusco,0–1,Melgar,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0,1,2
Sáb,2025-02-15,13:00:00,ADT Tarma,4–3,Atlético Grau,Ganó Local,Estadio Municipal Unión de Tarma,Victor Cori,4,3,0
Sáb,2025-02-15,15:30:00,Alianza Atlético,3–1,Alianza Lima,Ganó Local,Estadio Mansiche,Kevin Ortega,3,1,0
Dom,2025-02-16,11:00:00,Sporting Cristal,2–1,Sport Boys,Ganó Local,Estadio Alberto Gallardo,Daniel Ureta,2,1,0
Dom,2025-02-16,13:15:00,Juan Pablo II,0–1,Sport Huancayo,Ganó Visitante,Estadio Mansiche,Micke Palomino,0,1,2
Dom,2025-02-16,15:30:00,Deportivo Garcilaso,2–1,Comerciantes Unidos,Ganó Local,Estadio Inca Garcilaso de la Vega,César Garcia,2,1,0
Sáb,2025-02-15,19:30:00,Universitario,3–2,Cienciano,Ganó Local,Estadio Monumental U Marathon,Roberto Pérez,3,2,0
Lun,2025-02-17,15:00:00,Ayacucho,3–2,Alianza Univ,Ganó Local,Estadio Manuel Eloy Molina Robles,Robin Segura Tuanama,3,2,0
Sáb,2025-02-22,13:00:00,Comerciantes Unidos,1–1,CDC Santa Rosa,Empate,Estadio Municipal Germán Contreras Jara,Jordy Espinoza,1,1,1
Sáb,2025-02-22,15:00:00,Sport Boys,2–1,Ayacucho,Ganó Local,Estadio Miguel Grau del Callao,Jonathan Zamora,2,1,0
Sáb,2025-02-22,15:30:00,Sport Huancayo,0–1,Sporting Cristal,Ganó Visitante,Estadio Huancayo,Edwin Ordóñez,0,1,2
Vie,2025-02-21,20:00:00,Alianza Lima,1–0,Juan Pablo II,Ganó Local,Estadio Alejandro Villanueva,Augusto Menéndez,1,0,0
Dom,2025-02-23,13:00:00,Alianza Univ,2–3,ADT Tarma,Ganó Visitante,Estadio Heraclio Tapia León,Boris Santos,2,3,2
Sáb,2025-02-22,19:00:00,Cienciano,2–3,Deportivo Garcilaso,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Diego Haro,2,3,2
Lun,2025-02-24,18:00:00,Binacional,1–2,Cusco,Ganó Visitante,Estadio Guillermo Briceño Rosamedina,Julio Quiróz,1,2,2
Dom,2025-02-23,19:00:00,Melgar,2–1,Alianza Atlético,Ganó Local,Estadio de la Universidad Nacional San A...,Michael Espinoza,2,1,0
Jue,2025-02-27,15:30:00,ADT Tarma,2–2,Sport Boys,Empate,Estadio Municipal Unión de Tarma,Joel Alarcón,2,2,1
Vie,2025-02-28,15:00:00,Deportivo Garcilaso,2–0,Atlético Grau,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,2,0,0
Sáb,2025-03-01,13:00:00,Cusco,1–1,UTC,Empate,Estadio Inca Garcilaso de la Vega,Robin Segura Tuanama,1,1,1
Sáb,2025-03-01,15:30:00,Alianza Atlético,4–1,Binacional,Ganó Local,Estadio Campeones del 36,Victor Cori,4,1,0
Dom,2025-03-02,13:00:00,Ayacucho,1–1,Sport Huancayo,Empate,Estadio Ciudad de Cumaná,Jesús Cartagena,1,1,1
Dom,2025-03-02,18:00:00,Universitario,4–0,Alianza Univ,Ganó Local,Estadio Monumental U Marathon,Edwin Ordóñez,4,0,0
Sáb,2025-03-01,20:00:00,Sporting Cristal,1–2,Alianza Lima,Ganó Visitante,Estadio Alberto Gallardo,Michael Espinoza,1,2,2
Vie,2025-03-07,13:00:00,Alianza Univ,0–0,Deportivo Garcilaso,Empate,Estadio Heraclio Tapia León,Hibert Villegas,0,0,1
Sáb,2025-03-08,13:00:00,UTC,0–0,Alianza Atlético,Empate,Estadio Municipal Germán Contreras Jara,César Garcia,0,0,1
Sáb,2025-03-08,15:30:00,Sport Huancayo,2–1,ADT Tarma,Ganó Local,Estadio Huancayo,Sebastián Lozano,2,1,0
Sáb,2025-03-08,18:00:00,Melgar,1–0,Sporting Cristal,Ganó Local,Estadio de la Universidad Nacional San A...,Roberto Pérez,1,0,0
Vie,2025-03-07,20:00:00,Alianza Lima,2–0,Ayacucho,Ganó Local,Estadio Alejandro Villanueva,Julio Quiróz,2,0,0
Dom,2025-03-09,15:00:00,Sport Boys,0–2,Universitario,Ganó Visitante,Estadio Nacional,Micke Palomino,0,2,2
Lun,2025-03-10,15:00:00,Atlético Grau,2–1,CDC Santa Rosa,Ganó Local,Estadio Municipal Bernales,Edwin Ordóñez,2,1,0
Lun,2025-03-10,18:00:00,Binacional,2–0,Juan Pablo II,Ganó Local,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,2,0,0
Dom,2025-03-09,19:30:00,Cienciano,3–2,Comerciantes Unidos,Ganó Local,Estadio Inca Garcilaso de la Vega,Pablo López,3,2,0
Dom,2025-03-23,15:00:00,CDC Santa Rosa,0–0,Cienciano,Empate,Estadio Los Chankas,Daniel Ureta,0,0,1
Jue,2025-03-27,13:00:00,Comerciantes Unidos,2–2,Atlético Grau,Empate,Estadio Municipal Germán Contreras Jara,Sebastián Lozano,2,2,1
Jue,2025-03-27,15:30:00,Ayacucho,2–3,Melgar,Ganó Visitante,Estadio Manuel Eloy Molina Robles,Diego Haro,2,3,2
Vie,2025-03-28,15:30:00,Alianza Atlético,2–4,Cusco,Ganó Visitante,Estadio Campeones del 36,Italo Carmona,2,4,2
Sáb,2025-03-29,13:00:00,ADT Tarma,3–0,Alianza Lima,Ganó Local,Estadio Municipal Unión de Tarma,Kevin Ortega,3,0,0
Sáb,2025-03-29,15:30:00,Sporting Cristal,5–0,Binacional,Ganó Local,Estadio Alberto Gallardo,Boris Santos,5,0,0
Sáb,2025-03-29,18:00:00,Deportivo Garcilaso,4–0,Sport Boys,Ganó Local,Estadio Inca Garcilaso de la Vega,Robin Segura Tuanama,4,0,0
